date,kpi_total_index,kpi_energy_index,cpi_yoy,cpi_energy_yoy,wage_index,wage_yoy,infl_exp_households_1y,price_se3,price_se4,elec_price_avg,elec_price_index,elec_price_yoy,price_plans_total,wage_yoy_lag1,elec_price_yoy_lag1,price_plans_total_lag1,cpi_yoy_target_next
2007-07-01,86.18,84.69,1.8676122931442276,3.3435021354484284,157.4,3.213114754098356,,,,,,,9.0,3.2215647600263075,,9.0,1.759981100874097
2007-08-01,86.15,84.9,1.759981100874097,3.0715066164865856,157.8,3.3398821218074914,,,,,,,9.0,3.213114754098356,,9.0,2.18438050499119
2007-09-01,87.01,85.73,2.18438050499119,3.2642736689954432,158.5,3.527106466361851,,,,,,,9.0,3.3398821218074914,,9.0,2.724283701268204
2007-10-01,87.48,86.12,2.724283701268204,4.072507552870097,159.0,3.650586701434144,,,,,,,9.0,3.527106466361851,,9.0,3.2485047496188635
2007-11-01,88.04,87.08,3.2485047496188635,4.387437065451927,159.5,3.638726445743989,,,,,,,9.0,3.650586701434144,,9.0,3.44787146710448
2007-12-01,88.21,87.64,3.44787146710448,5.285920230658348,160.2,3.891050583657596,,,,,,,9.0,3.638726445743989,,9.0,3.206034889203213
2008-01-01,87.56,88.09,3.206034889203213,4.906514231273085,161.1,4.406999351911844,,,,,,,9.0,3.891050583657596,,9.0,3.107775301981941
2008-02-01,87.92,88.33,3.107775301981941,5.092207019631179,161.5,4.260813428018073,,,,,,,9.0,4.406999351911844,,9.0,3.413724804846807
2008-03-01,88.76,88.94,3.413724804846807,5.792791721184742,162.6,4.835589941972929,,,,,,,9.0,4.260813428018073,,9.0,3.338356323171454
2008-04-01,89.15,89.56,3.338356323171454,6.101172846819103,162.5,4.099935938500954,,,,,,,9.0,4.835589941972929,,9.0,3.864453986306127
2008-05-01,89.5,89.64,3.864453986306127,6.536724506774427,163.0,4.153354632587858,,,,,,,9.0,4.099935938500954,,9.0,4.194183756227554
2008-06-01,89.93,90.7,4.194183756227554,7.604698066200011,164.0,4.458598726114649,,,,,,,9.0,4.153354632587858,,9.0,4.130888837317226
2008-07-01,89.74,91.96,4.130888837317226,8.584248435470542,164.1,4.256670902160087,,,,,,,9.0,4.458598726114649,,9.0,4.341265235055136
2008-08-01,89.89,92.46,4.341265235055136,8.904593639575964,164.8,4.435994930291498,,,,,,,9.0,4.256670902160087,,9.0,4.378807033674281
2008-09-01,90.82,93.49,4.378807033674281,9.051673859792352,165.2,4.227129337539415,,,,,,,9.0,4.435994930291498,,9.0,3.97805212620026
2008-10-01,90.96,94.75,3.97805212620026,10.02090106827682,165.5,4.088050314465419,,,,,,,9.0,4.227129337539415,,9.0,2.4761472058155265
2008-11-01,90.22,93.55,2.4761472058155265,7.429949471750108,166.2,4.200626959247633,,,,,,,9.0,4.088050314465419,,9.0,0.8955900691531626
2008-12-01,89.0,89.4,0.8955900691531626,2.008215426745785,166.5,3.93258426966292,,,,,,,9.0,4.200626959247633,,9.0,1.2677021470991257
2009-01-01,88.67,90.04,1.2677021470991257,2.2136451356567166,166.7,3.476101800124143,,,,,,,9.0,3.93258426966292,,9.0,0.8757961783439461
2009-02-01,88.69,88.43,0.8757961783439461,0.1132118193139408,167.1,3.4674922600619107,,,,,,,9.0,3.476101800124143,,9.0,0.214060387561954
2009-03-01,88.95,87.68,0.214060387561954,-1.4166854058916043,167.6,3.075030750307506,,,,,,,9.0,3.4674922600619107,,9.0,-0.067302299495231
2009-04-01,89.09,87.37,-0.067302299495231,-2.4452880750334915,168.5,3.692307692307684,,,,,,,9.0,3.075030750307506,,9.0,-0.7150837988826875
2009-05-01,88.86,85.58,-0.7150837988826875,-4.529228023203924,169.2,3.803680981595092,,,,,,,9.0,3.692307692307684,,9.0,-0.956299343934186
2009-06-01,89.07,85.85,-0.956299343934186,-5.3472987872105975,169.4,3.292682926829271,,,,,,,9.0,3.803680981595092,,9.0,-1.2034767104969868
2009-07-01,88.66,84.9,-1.2034767104969868,-7.677250978686367,170.0,3.595368677635591,,,,,,,9.0,3.292682926829271,,9.0,-1.1680943375236397
2009-08-01,88.84,84.96,-1.1680943375236397,-8.111615833874108,170.5,3.4587378640776656,,,,,,,9.0,3.595368677635591,,9.0,-1.8718343977097485
2009-09-01,89.12,84.51,-1.8718343977097485,-9.605305380254558,170.8,3.389830508474589,,,,,,,9.0,3.4587378640776656,,9.0,-1.781002638522422
2009-10-01,89.34,84.32,-1.781002638522422,-11.007915567282334,171.1,3.383685800604219,,,,,,,9.0,3.389830508474589,,9.0,-0.9975615162935104
2009-11-01,89.32,84.15,-0.9975615162935104,-10.048102618920352,171.6,3.249097472924189,,,,,,,9.0,3.383685800604219,,9.0,0.5842696629213329
2009-12-01,89.52,84.55,0.5842696629213329,-5.425055928411638,171.9,3.2432432432432545,,,,,,,9.0,3.249097472924189,,9.0,0.3157776023457792
2010-01-01,88.95,84.82,0.3157776023457792,-5.797423367392285,172.5,3.479304139172168,,,,,,,9.0,3.2432432432432545,,9.0,0.902018265869886
2010-02-01,89.49,85.6,0.902018265869886,-3.2002714011082345,172.7,3.3512866546977715,,,,,,,9.0,3.479304139172168,,9.0,0.8431703204047292
2010-03-01,89.7,84.82,0.8431703204047292,-3.2618613138686303,172.9,3.1622911694510814,,,,,,,9.0,3.3512866546977715,,9.0,0.7071500729599167
2010-04-01,89.72,84.45,0.7071500729599167,-3.342108275151656,172.9,2.6112759643917016,,,,,,,9.0,3.1622911694510814,,9.0,1.1478730587440866
2010-05-01,89.88,84.84,1.1478730587440866,-0.8646880112175737,173.1,2.304964539007104,,,,,,,9.0,2.6112759643917016,,9.0,0.9318513528685513
2010-06-01,89.9,85.24,0.9318513528685513,-0.7105416423995314,173.4,2.3612750885478206,,,,,,,9.0,2.304964539007104,,9.0,1.0827881795623773
2010-07-01,89.62,85.66,1.0827881795623773,0.8951707891637017,173.8,2.2352941176470686,,,,,,,9.0,2.3612750885478206,,9.0,0.8892390814948081
2010-08-01,89.63,85.77,0.8892390814948081,0.9533898305084776,174.1,2.111436950146617,,,,,,,9.0,2.2352941176470686,,9.0,1.4138240574506078
2010-09-01,90.38,86.45,1.4138240574506078,2.2955863211454157,174.6,2.2248243559718883,,,,,,,9.0,2.111436950146617,,9.0,1.4886948735169048
2010-10-01,90.67,86.66,1.4886948735169048,2.77514231499052,175.2,2.396259497369946,,,,,,,9.0,2.2248243559718883,,9.0,1.8472906403941056
2010-11-01,90.97,87.45,1.8472906403941056,3.9215686274509673,175.4,2.2144522144522227,,,,,,,9.0,2.396259497369946,,9.0,2.3346738159070624
2010-12-01,91.61,89.03,2.3346738159070624,5.298639858072152,175.9,2.326934264107039,,,,,,,9.0,2.2144522144522227,,9.0,2.46205733558178
