date,wage_index,wage_yoy
2008-05-01,163.0,4.153354632587858
2008-06-01,164.0,4.458598726114649
2008-07-01,164.1,4.256670902160087
2008-08-01,164.8,4.435994930291498
2008-09-01,165.2,4.227129337539415
2008-10-01,165.5,4.088050314465419
2008-11-01,166.2,4.200626959247633
2008-12-01,166.5,3.93258426966292
2009-01-01,166.7,3.476101800124143
2009-02-01,167.1,3.4674922600619107
2009-03-01,167.6,3.075030750307506
2009-04-01,168.5,3.6923076923076836
2009-05-01,169.2,3.8036809815950923
2009-06-01,169.4,3.292682926829271
2009-07-01,170.0,3.595368677635591
2009-08-01,170.5,3.4587378640776656
2009-09-01,170.8,3.3898305084745894
2009-10-01,171.1,3.383685800604219
2009-11-01,171.6,3.2490974729241895
2009-12-01,171.9,3.2432432432432545
2010-01-01,172.5,3.479304139172168
2010-02-01,172.7,3.3512866546977715
2010-03-01,172.9,3.1622911694510814
2010-04-01,172.9,2.6112759643917016
2010-05-01,173.1,2.304964539007104
2010-06-01,173.4,2.3612750885478206
2010-07-01,173.8,2.2352941176470686
2010-08-01,174.1,2.111436950146617
2010-09-01,174.6,2.2248243559718883
2010-10-01,175.2,2.396259497369946
2010-11-01,175.4,2.2144522144522227
2010-12-01,175.9,2.326934264107039
2011-01-01,176.3,2.2028985507246412
2011-02-01,176.7,2.316155182397228
2011-03-01,176.8,2.2556390977443552
2011-04-01,176.9,2.3134759976865205
2011-05-01,176.8,2.137492778740624
2011-06-01,177.8,2.5374855824682907
2011-07-01,178.3,2.589182968929804
2011-08-01,178.7,2.642159678345779
2011-09-01,179.0,2.5200458190149044
2011-10-01,179.6,2.511415525114158
2011-11-01,180.0,2.6225769669327326
2011-12-01,180.3,2.5014212620807275
2012-01-01,180.5,2.382302892796373
2012-02-01,181.5,2.716468590831922
2012-03-01,182.0,2.941176470588225
2012-04-01,182.7,3.2786885245901454
2012-05-01,182.9,3.450226244343879
2012-06-01,183.3,3.093363329583809
2012-07-01,183.7,3.028603477285463
2012-08-01,184.0,2.965864577504207
2012-09-01,184.5,3.0726256983240274
2012-10-01,184.8,2.895322939866385
2012-11-01,185.1,2.833333333333332
2012-12-01,186.1,3.216860787576259
2013-01-01,185.4,2.714681440443223
2013-02-01,186.0,2.4793388429751984
2013-03-01,186.7,2.5824175824175732
2013-04-01,186.7,2.1893814997263172
2013-05-01,187.2,2.3510114816839733
2013-06-01,187.9,2.5095471903982425
2013-07-01,188.2,2.4496461622210086
2013-08-01,188.5,2.4456521739130377
2013-09-01,189.0,2.4390243902439046
2013-10-01,189.4,2.4891774891774965
2013-11-01,189.9,2.593192868719618
2013-12-01,190.5,2.364320257925856
2014-01-01,191.1,3.07443365695792
2014-02-01,191.6,3.010752688172036
2014-03-01,191.9,2.7852169255490278
2014-04-01,192.3,2.9994643813604727
2014-05-01,192.8,2.991452991453003
2014-06-01,193.1,2.767429483767958
2014-07-01,193.4,2.763018065887368
2014-08-01,193.8,2.811671087533152
2014-09-01,194.1,2.698412698412689
2014-10-01,194.3,2.5871172122492014
2014-11-01,194.8,2.5803054239073253
2014-12-01,195.2,2.4671916010498673
2015-01-01,195.6,2.3547880690737877
2015-02-01,196.0,2.2964509394572064
2015-03-01,196.3,2.2928608650338855
2015-04-01,197.1,2.4960998439937487
2015-05-01,197.8,2.593360995850613
2015-06-01,197.4,2.2268254790264175
2015-07-01,197.8,2.2750775594622574
2015-08-01,198.5,2.42518059855521
2015-09-01,198.8,2.4214322514167996
2015-10-01,199.3,2.5733401955738477
2015-11-01,199.7,2.515400410677615
2015-12-01,200.1,2.510245901639352
2016-01-01,200.6,2.556237218813906
2016-02-01,200.7,2.3979591836734704
2016-03-01,201.2,2.496179317371361
2016-04-01,200.9,1.9279553526128979
2016-05-01,201.7,1.9716885743174872
2016-06-01,202.4,2.532928064842954
2016-07-01,203.1,2.6794742163801732
2016-08-01,203.4,2.468513853904275
2016-09-01,203.7,2.464788732394352
2016-10-01,204.3,2.5087807325639755
2016-11-01,204.9,2.6039058587881803
2016-12-01,204.8,2.3488255872064157
2017-01-01,205.1,2.243270189431712
2017-02-01,205.6,2.4414549078226155
2017-03-01,205.7,2.236580516898612
2017-04-01,206.3,2.6879044300647026
2017-05-01,206.7,2.4789291026276583
2017-06-01,207.0,2.2727272727272707
2017-07-01,207.6,2.215657311669128
2017-08-01,208.0,2.2615535889872085
2017-09-01,208.5,2.356406480117834
2017-10-01,208.9,2.2515907978462923
2017-11-01,209.3,2.1473889702293913
2017-12-01,209.8,2.44140625
2018-01-01,210.1,2.4378352023403327
2018-02-01,210.7,2.4805447470817032
2018-03-01,211.3,2.722411278561032
2018-04-01,211.2,2.3751817741153536
2018-05-01,212.1,2.612481857764881
2018-06-01,212.5,2.657004830917864
2018-07-01,212.8,2.5048169556840083
2018-08-01,213.2,2.499999999999991
2018-09-01,213.9,2.5899280575539585
2018-10-01,214.2,2.5370990904739044
2018-11-01,214.7,2.580028666985168
2018-12-01,215.4,2.669208770257381
2019-01-01,215.5,2.570204664445508
2019-02-01,215.8,2.420503084954917
2019-03-01,216.5,2.460955986748692
2019-04-01,216.6,2.556818181818188
2019-05-01,217.4,2.498821310702515
2019-06-01,218.1,2.635294117647047
2019-07-01,218.5,2.678571428571419
2019-08-01,218.8,2.6266416510319024
2019-09-01,219.3,2.524544179523147
2019-10-01,219.8,2.614379084967333
2019-11-01,220.5,2.7014438751746583
2019-12-01,221.0,2.599814298978642
2020-01-01,222.0,3.0162412993039345
2020-02-01,222.2,2.9657089898053712
2020-03-01,222.5,2.771362586605086
2020-04-01,220.7,1.8928901200369275
2020-05-01,221.0,1.6559337626494974
2020-06-01,221.3,1.4672168729940482
2020-07-01,221.9,1.5560640732265485
2020-08-01,222.8,1.8281535648994485
2020-09-01,223.2,1.7783857729138042
2020-10-01,223.7,1.7743403093721355
2020-11-01,225.6,2.3129251700680253
2020-12-01,226.3,2.3981900452488825
2021-01-01,227.3,2.3873873873873963
2021-02-01,228.1,2.6552655265526637
2021-03-01,228.0,2.4719101123595433
2021-04-01,227.1,2.8998640688717714
2021-05-01,227.5,2.941176470588225
2021-06-01,227.8,2.93718933574334
2021-07-01,228.3,2.8841820639927906
2021-08-01,228.8,2.6929982046678624
2021-09-01,229.5,2.822580645161299
2021-10-01,229.9,2.7715690657130088
2021-11-01,230.6,2.2163120567375794
2021-12-01,230.7,1.944321696862561
2022-01-01,231.9,2.0237571491420914
2022-02-01,232.5,1.9289785181937802
2022-03-01,233.0,2.1929824561403466
2022-04-01,233.6,2.862175253192434
2022-05-01,234.1,2.9010989010989086
2022-06-01,234.6,2.985074626865658
2022-07-01,235.1,2.9785370127025868
2022-08-01,235.6,2.9720279720279574
