date,kpi_total_index,kpi_energy_index,cpi_yoy,cpi_energy_yoy
1987-12-01,50.81,39.11,5.109640049648312,5.4177897574123834
1988-01-01,51.09,40.09,4.735547355473568,6.002115282919096
1988-02-01,51.47,40.24,5.191089311260977,6.118143459915615
1988-03-01,51.7,40.27,5.445645523149101,6.113306982872202
1988-04-01,52.16,40.56,6.102522375915376,6.372934697088906
1988-05-01,52.35,40.93,6.4024390243902385,7.118555352002098
1988-06-01,52.47,41.08,6.841783750763586,7.454878367774009
1988-07-01,52.73,41.28,6.0965794768611525,7.2207792207792165
1988-08-01,52.83,41.38,5.765765765765751,7.091097308488625
1988-09-01,53.24,41.46,5.593018643395475,7.021166752710384
1988-10-01,53.65,41.77,5.9230009871668265,7.350295553842212
1988-11-01,53.74,41.76,5.766581381617786,6.721185790953221
1988-12-01,53.85,41.89,5.983074197992511,7.108156481718231
1989-01-01,54.48,43.13,6.635349383440969,7.582938388625582
1989-02-01,54.78,43.21,6.4309306392073,7.380715705765395
1989-03-01,55.01,43.29,6.4023210831721356,7.49937919046435
1989-04-01,55.51,43.75,6.422546012269947,7.86489151873766
1989-05-01,55.75,44.01,6.494746895893022,7.525042755924738
1989-06-01,55.94,44.06,6.613302839717927,7.254138266796506
1989-07-01,55.96,44.42,6.125545230419127,7.606589147286824
1989-08-01,56.18,44.49,6.341094075335985,7.515708071532146
1989-09-01,56.63,44.62,6.367392937640881,7.621804148576938
1989-10-01,57.12,44.87,6.467847157502327,7.42159444577446
1989-11-01,57.21,45.07,6.457015258652765,7.926245210727978
1989-12-01,57.42,45.37,6.629526462395541,8.307471950346134
1990-01-01,59.05,48.01,8.388399412628477,11.314630187804298
1990-02-01,59.25,48.09,8.159912376779843,11.293682018051388
1990-03-01,60.88,50.63,10.670787129612801,16.955416955416958
1990-04-01,61.1,51.07,10.070257611241228,16.731428571428573
1990-05-01,61.45,51.12,10.22421524663677,16.155419222903888
1990-06-01,61.41,50.92,9.77833392920986,15.569677712210627
1990-07-01,61.99,51.21,10.775553967119379,15.28590724898693
1990-08-01,62.42,51.34,11.107155571377714,15.396718363677241
1990-09-01,63.13,51.55,11.478015186297007,15.531151949798305
1990-10-01,63.54,51.66,11.239495798319332,15.132605304212166
1990-11-01,63.75,52.24,11.431567907708452,15.90858664299979
1990-12-01,63.67,52.51,10.884709160571227,15.73727132466387
1991-01-01,65.19,55.16,10.397967823878073,14.892730681108102
1991-02-01,67.0,60.28,13.080168776371304,25.348305260969006
1991-03-01,67.24,60.14,10.446780551905377,18.783330041477384
1991-04-01,67.61,60.59,10.654664484451715,18.641080869394955
1991-05-01,67.68,60.8,10.138323840520759,18.93583724569641
1991-06-01,67.59,60.51,10.063507572056674,18.83346425765906
1991-07-01,67.6,60.8,9.049846749475709,18.726811169693413
1991-08-01,67.51,60.77,8.154437680230696,18.367744448772893
1991-09-01,68.24,60.92,8.094408363693951,18.176527643064986
1991-10-01,68.5,61.35,7.806106389675804,18.75725900116145
1991-11-01,68.81,61.44,7.937254901960777,17.611026033690646
1991-12-01,68.72,62.11,7.93152190984765,18.282231955817952
1992-01-01,68.6,64.11,5.230863629391003,16.22552574329226
1992-02-01,68.62,64.1,2.417910447761207,6.337093563370932
1992-03-01,68.95,64.13,2.5431290898275005,6.634519454605914
1992-04-01,69.1,64.2,2.2038160035497523,5.958078890906093
1992-05-01,69.16,64.37,2.1867612293144045,5.87171052631581
1992-06-01,68.98,64.6,2.0565172362775552,6.759213353164761
1992-07-01,68.88,64.65,1.8934911242603603,6.332236842105288
1992-08-01,68.93,64.94,2.1033920900607406,6.861938456475225
1992-09-01,69.93,66.2,2.4765533411489127,8.667104399212079
1992-10-01,70.07,66.4,2.291970802919696,8.231458842705797
1992-11-01,69.73,65.94,1.3370149687545352,7.32421875
1992-12-01,69.99,65.66,1.848079161816063,5.7156657543068645
1993-01-01,71.88,68.78,4.781341107871717,7.284355014818278
1993-02-01,72.09,68.68,5.056834742057714,7.145085803432161
1993-03-01,72.4,68.66,5.0036258158085545,7.063776703570879
1993-04-01,72.7,69.16,5.209840810419686,7.725856697819311
1993-05-01,72.53,68.67,4.872758820127254,6.680130495572456
1993-06-01,72.29,68.55,4.798492316613512,6.114551083591335
1993-07-01,72.15,68.49,4.747386759581906,5.939675174013903
1993-08-01,72.22,68.49,4.772958073407785,5.466584539574981
1993-09-01,72.87,68.5,4.204204204204198,3.4743202416918306
1993-10-01,73.09,68.77,4.309975738547189,3.5692771084337105
1993-11-01,73.11,68.72,4.8472680338448315,4.215953897482572
1993-12-01,72.84,68.43,4.0720102871838915,4.218702406335684
1994-01-01,73.06,69.48,1.6416249304396224,1.0177377144518829
1994-02-01,73.29,69.41,1.6645859342488523,1.0629004076878168
1994-03-01,73.56,69.42,1.602209944751376,1.1069035828721319
1994-04-01,73.86,69.62,1.595598349381011,0.665124349334878
1994-05-01,74.02,69.78,2.0543223493726614,1.6164263870685813
1994-06-01,74.04,69.83,2.42080509060727,1.8672501823486565
1994-07-01,74.06,70.0,2.6472626472626493,2.2047014162651646
1994-08-01,74.07,70.09,2.561617280531703,2.3361074609432153
1994-09-01,74.75,70.24,2.5799368738850026,2.540145985401443
1994-10-01,74.82,70.39,2.366944862498266,2.3556783481169186
1994-11-01,74.77,70.4,2.2705512241827375,2.4447031431897637
1994-12-01,74.64,70.3,2.471169686985175,2.7327195674411664
1995-01-01,74.92,71.23,2.5458527237886663,2.5187104202648136
1995-02-01,75.19,71.16,2.592440987856448,2.521250540267972
1995-03-01,75.48,71.23,2.610114192495927,2.6073177758570987
